DATE,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
2014-01-03,1234.5,907.4,"128,992.90",751.5,"1,309.80","1,116.50","76,810.60","7,470.10","2,689.20","4,630.20",14944857.0,"4,534.30","40,736.00","26,039,308.50","8,590.00","1,302,595.00","40,980.10","13,147.60","1,374.60"
2014-01-10,1244.3,910.7,"129,464.20",755.4,"1,355.40","1,123.20","76,526.40","7,528.50","2,695.20","4,666.60",14804086.5,"4,570.10","41,062.70","26,238,744.00","8,663.60","1,319,141.40","41,099.30","13,274.50","1,383.70"
2014-01-17,1250.0,923.7,"130,387.50",761.7,"1,370.60","1,139.00","77,063.10","7,562.40","2,785.40","4,688.30",15112500.0,"4,591.30","41,043.80","26,343,750.00","8,700.30","1,328,087.50","41,998.90","13,546.30","1,425.50"
2014-01-24,1267.0,926,"129,614.10",767.6,"1,402.70","1,133.80","79,443.40","7,663.80","2,947.60","4,751.80",15429526.0,"4,653.70","41,622.20","26,695,690.00","8,822.10","1,375,455.20","43,728.10","14,054.80","1,453.50"
2014-01-31,1251.0,926.3,"127,889.70",760.1,"1,389.90","1,132.00","78,287.60","7,578.90","2,828.80","4,691.90",15278463.0,"4,595.10","41,315.50","26,346,060.00","8,709.20","1,356,446.80","43,970.70","13,916.10","1,430.00"
2014-02-07,1259.3,924.5,"128,758.30",768.2,"1,389.10","1,131.20","78,158.50","7,634.80","2,792.50","4,722.80",15316257.8,"4,625.20","41,311.00","26,563,878.80","8,764.60","1,353,001.20","43,824.40","13,919.10","1,405.40"
2014-02-14,1320.0,963.9,"134,415.60",788.9,"1,448.30","1,178.00","81,650.60","8,003.70","2,882.80","4,950.80",15615600.0,"4,848.40","42,702.00","27,819,000.00","9,188.80","1,397,906.40","46,360.60","14,339.60","1,462.10"
2014-02-21,1323.3,963.4,"135,818.40",795.2,"1,472.00","1,174.70","82,240.00","8,060.20","2,879.10","4,963.00",15534955.0,"4,860.30","43,055.90","27,907,342.50","9,214.10","1,420,204.50","47,005.90","14,465.20","1,475.90"
2014-02-28,1326.5,960.7,"135,395.90",793,"1,465.70","1,167.60","81,978.40","8,152.40","2,919.80","4,975.20",15407297.5,"4,872.20","43,137.80","27,979,864.50","9,237.20","1,419,474.40","47,542.80","14,218.50","1,485.90"
2014-03-07,1335.3,962.3,"137,958.00",798.3,"1,480.90","1,172.00","81,762.00","8,176.00","2,941.70","5,007.60",15255231.3,"4,904.40","43,215.40","28,159,087.30","9,293.90","1,422,335.00","48,654.40","14,309.90","1,472.00"
2014-03-14,1385.0,996.4,"140,425.20",833.1,"1,537.80","1,208.40","84,892.90","8,519.40","3,071.20","5,194.40",15802850.0,"5,087.10","44,692.60","29,211,035.00","9,640.70","1,483,750.50","50,744.10","14,811.60","1,534.60"
2014-03-21,1336.0,968.4,"136,606.00",809.9,"1,496.20","1,179.20","81,384.40","8,319.50","2,984.20","5,010.50",15278496.0,"4,907.10","43,267.70","28,162,880.00","9,301.40","1,441,918.10","48,417.30","14,544.80","1,468.50"
2014-03-28,1294.8,941.4,"133,165.00",777.7,"1,431.70","1,147.90","77,544.50","8,043.00","2,833.80","4,856.00",14760150.0,"4,755.60","42,074.20","27,306,277.50","9,023.00","1,384,217.20","46,329.10","13,707.00","1,399.90"
2014-04-04,1297.3,946.6,"134,044.80",782.5,"1,425.20","1,156.60","77,643.70","8,056.70","2,738.90","4,865.30",14680978.3,"4,764.80","42,090.60","27,339,543.80","9,048.20","1,363,747.00","45,757.90","13,670.40","1,397.00"
2014-04-11,1318.0,948.4,"133,922.00",787.2,"1,444.10","1,152.90","79,549.90","8,187.30","2,786.00","4,943.00",15047606.0,"4,841.00","42,538.50","27,803,210.00","9,196.50","1,369,810.60","46,981.80","13,811.60","1,401.50"
2014-04-18,1299.0,940,"133,017.60",773.2,"1,429.70","1,146.00","78,375.80","8,077.70","2,757.80","4,871.90",14843673.0,"4,771.20","41,822.60","27,406,302.00","9,078.10","1,349,401.20","46,246.40","13,632.80","1,392.70"
2014-04-25,1301.3,940.4,"132,935.70",774.7,"1,436.60","1,146.40","78,954.00","8,137.50","2,776.00","4,880.30",15048956.3,"4,779.60","41,970.50","27,457,676.30","9,103.00","1,353,963.60","46,896.90","13,847.40","1,403.30"
2014-05-02,1281.3,924.2,"131,123.10",759.5,"1,406.90","1,125.70","76,878.80","8,019.60","2,692.70","4,805.60",14792031.3,"4,706.00","41,453.60","27,024,125.00","8,977.90","1,319,431.30","45,911.00","13,403.40","1,384.20"
2014-05-09,1291.3,938.5,"131,475.10",766.5,"1,407.10","1,144.80","77,297.50","8,042.30","2,684.60","4,843.10",14899733.8,"4,742.90","42,124.50","27,226,006.30","9,100.60","1,323,608.70","45,439.90","13,400.10","1,380.30"
2014-05-16,1291.5,942.6,"131,035.60",767.4,"1,404.30","1,151.20","75,609.60","8,051.30","2,708.50","4,843.40",14746347.0,"4,743.70","41,960.80","27,273,897.00","9,184.80","1,322,237.70","44,883.90","13,362.30","1,378.80"
2014-05-23,1291.5,947.7,"131,707.20",767.8,"1,403.70","1,157.30","75,380.30","8,055.30","2,688.40","4,844.00",15000772.5,"4,743.70","42,017.70","27,262,273.50","9,212.80","1,323,722.90","44,105.10","13,322.90","1,397.90"
2014-05-30,1250.5,916.7,"127,275.90",745.7,"1,356.90","1,118.30","74,117.80","7,812.10","2,622.30","4,690.30",14599587.5,"4,593.10","41,078.90","26,435,570.00","8,939.20","1,276,572.90","43,638.10","13,221.70","1,344.30"
2014-06-06,1247.5,914.7,"127,918.70",742.4,"1,364.30","1,115.00","73,558.80","7,797.90","2,591.20","4,679.30",14762915.0,"4,582.20","40,502.60","26,403,337.50","8,920.90","1,272,574.80","42,927.70","13,194.20","1,337.10"
2014-06-13,1273.0,940.8,"129,871.50",750.5,"1,383.10","1,146.10","76,042.70","7,902.00","2,696.90","4,774.60",15015035.0,"4,675.90","41,219.70","26,993,965.00","9,099.20","1,299,032.90","43,814.80","13,592.10","1,355.00"
2014-06-20,1312.5,966.2,"134,045.60",771.6,"1,411.90","1,176.50","79,069.60","8,172.40","2,809.80","4,923.10",15725062.5,"4,820.80","42,601.10","27,962,812.50","9,385.00","1,340,574.40","45,239.90","14,036.00","1,398.50"
2014-06-27,1317.5,965.8,"133,555.00",774.1,"1,405.40","1,174.30","79,175.20","8,193.10","2,800.50","4,941.40",15803412.5,"4,838.90","42,770.00","28,069,337.50","9,421.30","1,336,577.40","44,423.70","13,987.90","1,399.40"
2014-07-04,1319.3,970.5,"134,669.00",768.7,"1,404.50","1,179.80","78,874.00","8,183.40","2,814.40","4,947.90",15666093.8,"4,845.50","42,696.20","28,088,151.80","9,434.50","1,331,782.90","45,469.00","14,183.00","1,410.10"
2014-07-11,1335.0,981.4,"135,275.60",780.1,"1,431.90","1,191.50","80,269.60","8,281.00","2,829.80","5,006.90",15492675.0,"4,903.50","42,912.20","28,285,980.00","9,546.20","1,360,818.90","45,685.70","14,309.60","1,423.10"
2014-07-18,1307.3,967,"132,555.20",765.6,"1,403.70","1,174.80","78,865.70","8,115.00","2,775.80","4,902.80",15187630.5,"4,801.70","42,004.60","27,726,772.50","9,346.30","1,346,153.80","45,939.40","13,923.80","1,392.50"
2014-07-25,1294.8,964.1,"131,844.40",763.1,"1,400.00","1,171.40","77,759.50","8,017.20","2,707.60","4,855.80",14990615.5,"4,755.90","41,235.20","27,459,058.00","9,257.50","1,328,659.50","45,487.20","13,612.50","1,376.70"
2014-08-01,1291.3,961.4,"132,288.60",767.1,"1,409.10","1,169.00","78,774.60","7,977.70","2,758.80","4,842.70",15269031.3,"4,742.90","41,535.60","27,395,160.00","9,231.50","1,334,158.20","46,213.10","13,835.90","1,387.40"
2014-08-08,1309.8,976.3,"133,411.10",780.7,"1,437.70","1,184.90","80,137.10","8,061.60","2,818.20","4,912.40",15426235.5,"4,810.70","42,084.90","27,773,248.80","9,363.90","1,351,400.10","47,397.20","13,992.50","1,412.10"
2014-08-15,1296.0,968.2,"132,580.80",776.8,"1,413.20","1,170.70","78,883.00","7,976.10","2,815.30","4,861.00",15129504.0,"4,760.30","41,311.30","27,446,688.00","9,267.70","1,320,766.60","46,897.30","13,742.40","1,392.80"
2014-08-22,1277.3,964.7,"132,782.90",770.6,"1,398.30","1,167.30","77,165.10","7,857.30","2,784.90","4,790.20",14920834.5,"4,691.30","40,823.50","27,045,768.80","9,133.50","1,302,680.10","46,117.70","13,651.90","1,372.10"
2014-08-29,1285.8,978.1,"133,756.60",775.3,"1,396.80","1,179.80","77,966.00","7,896.10","2,776.70","4,822.10",15049703.8,"4,722.60","41,075.90","27,257,900.00","9,194.70","1,305,614.80","47,726.50","13,692.30","1,376.80"
2014-09-05,1266.0,977.5,"133,031.30",776.3,"1,378.20","1,179.20","76,272.10","7,769.80","2,732.40","4,748.10",14880564.0,"4,650.00","40,509.50","26,836,668.00","9,052.30","1,294,472.30","46,904.00","13,543.50","1,350.50"
2014-09-12,1231.5,949.2,"131,992.20",757,"1,364.00","1,148.40","75,050.10","7,553.70","2,721.30","4,619.00",14555098.5,"4,523.30","39,694.90","26,083,170.00","8,803.30","1,276,572.90","46,492.80","13,535.40","1,360.00"
2014-09-19,1219.8,950.5,"132,904.00",748.3,"1,338.40","1,147.50","74,251.10","7,491.50","2,725.80","4,574.80",14597968.0,"4,480.10","39,273.50","25,846,502.50","8,728.30","1,269,637.80","46,875.60","13,518.00","1,365.80"
2014-09-26,1213.8,956.5,"132,711.40",747.2,"1,355.30","1,154.30","74,635.30","7,437.60","2,748.20","4,552.90",14698512.5,"4,457.90","39,267.20","25,701,156.30","8,680.00","1,273,357.30","47,539.00","13,635.50","1,386.00"
2014-10-03,1195.0,955,"131,187.10",748.5,"1,345.20","1,156.20","73,870.70","7,334.40","2,745.90","4,483.40",14551515.0,"4,389.20","39,007.20","25,337,585.00","8,544.90","1,282,008.00","47,726.80","13,559.10","1,378.00"
2014-10-10,1219.0,964.5,"131,481.30",758.9,"1,363.00","1,166.10","74,554.00","7,473.80","2,782.00","4,572.50",14877895.0,"4,477.50","39,529.70","25,873,275.00","8,718.90","1,306,963.00","49,205.70","13,490.40","1,397.60"
2014-10-17,1234.3,966.5,"131,645.10",766.8,"1,388.80","1,167.00","75,573.10","7,554.20","2,773.40","4,630.30",14909740.0,"4,533.50","40,005.80","26,122,901.30","8,828.60","1,312,649.60","50,167.20","13,685.60","1,407.50"
2014-10-24,1232.8,973.7,"133,223.30",767,"1,385.00","1,174.20","75,425.80","7,540.40","2,751.60","4,625.30",14879292.5,"4,527.90","39,978.10","26,193,472.00","8,817.10","1,302,622.30","51,527.70","13,482.50","1,400.90"
2014-10-31,1164.3,929.1,"130,559.00",727.9,"1,313.00","1,120.40","71,497.80","7,118.90","2,584.80","4,367.80",14058318.8,"4,276.30","37,954.60","24,751,955.00","8,331.60","1,250,520.90","50,076.70","12,843.90","1,324.10"
2014-11-07,1154.5,928.6,"132,409.60",728.5,"1,310.20","1,117.80","70,856.90","7,069.00","2,609.60","4,331.70",14021402.5,"4,240.50","37,856.10","24,602,395.00","8,253.80","1,256,188.40","54,106.80","13,011.80","1,338.40"
2014-11-14,1169.0,934.2,"136,001.50",746.5,"1,319.90","1,122.10","72,086.40","7,168.70","2,609.30","4,386.30",14232575.0,"4,293.70","38,358.40","24,893,855.00","8,361.50","1,287,536.60","55,209.00","12,989.10","1,337.40"
2014-11-21,1203.8,971.7,"141,777.70",769.1,"1,353.00","1,167.80","74,181.70","7,369.80","2,674.30","4,516.40",14583431.3,"4,421.40","39,456.50","25,691,636.30","8,608.10","1,338,582.00","55,165.20","13,194.20","1,387.00"
2014-11-28,1182.8,951.2,"140,404.30",757.1,"1,352.80","1,142.80","73,648.10","7,265.00","2,626.70","4,438.90",14437829.3,"4,344.20","38,871.10","25,231,605.80","8,456.70","1,316,731.90","58,926.60","13,099.10","1,390.20"
2014-12-05,1194.0,971.3,"145,106.80",765.9,"1,364.70","1,167.90","73,941.40","7,344.30","2,699.40","4,481.60",14787690.0,"4,385.60","39,429.50","25,471,602.00","8,540.60","1,336,778.50","62,841.80","13,541.00","1,434.90"
2014-12-12,1217.0,977,"144,105.00",774.4,"1,406.00","1,173.40","76,158.00","7,529.10","2,793.30","4,567.90",15150433.0,"4,470.20","39,905.40","25,998,771.00","8,705.00","1,343,507.20","70,907.30","14,119.00","1,474.10"
2014-12-19,1195.5,976.7,"142,850.30",765.3,"1,389.70","1,175.10","75,797.70","7,436.00","2,764.70","4,488.20",14818222.5,"4,391.20","39,294.90","25,563,376.50","8,547.70","1,315,468.40","71,269.50","13,882.30","1,470.70"
2014-12-26,1175.8,965.6,"141,807.20",757.8,"1,365.30","1,161.30","74,603.70","7,322.60","2,729.30","4,412.70",14739202.0,"4,318.50","38,691.60","25,129,304.80","8,409.40","1,300,438.30","64,342.10","13,697.00","1,451.00"
2015-01-02,1172.0,975.9,"140,921.30",763.1,"1,376.20","1,172.90","74,135.50","7,273.40","2,746.10","4,400.00",14672268.0,"4,304.80","38,646.70","25,057,360.00","8,382.10","1,295,622.60","69,434.00","13,710.80","1,444.80"
2015-01-09,1217.8,"1,029.40","144,388.60",804.2,"1,444.10","1,236.10","75,640.50","7,560.80","2,791.00","4,572.20",15305899.8,"4,472.80","40,001.90","25,992,873.80","8,706.20","1,323,791.70","75,231.70","13,972.60","1,486.70"
2015-01-16,1277.5,"1,106.30","150,170.10",843.4,"1,530.30","1,096.50","78,655.70","7,940.90","2,980.30","4,796.00",16122050.0,"4,692.30","41,581.40","27,284,845.00","9,132.00","1,377,170.60","82,941.20","14,779.90","1,553.80"
